iter	Logloss
0	0.3257004503
1	0.2473243915
2	0.2134813249
3	0.1920526449
4	0.1852360864
5	0.1825199654
6	0.1796847096
7	0.1766038934
8	0.1755794533
9	0.1744042289
10	0.174123219
11	0.1732025149
12	0.1712017686
13	0.1709312444
14	0.1698003389
15	0.169332866
16	0.1687711308
17	0.1686527133
18	0.1677885398
19	0.1675862084
20	0.167173874
21	0.1667145386
22	0.1666333761
23	0.1664540042
24	0.1662515961
25	0.1660289134
26	0.1651780823
27	0.1648497595
28	0.1648410265
29	0.1645935393
30	0.1645192146
31	0.1641906047
32	0.1638810224
33	0.1636821866
34	0.1636668058
35	0.1636369013
36	0.1628331493
37	0.1622230157
38	0.1616518682
39	0.1611551434
40	0.1610896217
41	0.1610520563
42	0.1609771046
43	0.1608776106
44	0.1608474698
45	0.1606646443
46	0.1603890267
47	0.1603105275
48	0.1600288458
49	0.1598272832
50	0.1595178387
51	0.1594206312
52	0.1593864553
53	0.1592687049
54	0.1591988107
55	0.1590944474
56	0.159054663
57	0.158751307
58	0.1585571473
59	0.158263786
60	0.1581008726
61	0.1578780404
62	0.1576658186
63	0.1576503814
64	0.157494546
65	0.1573628572
66	0.1573589606
67	0.1569988822
68	0.1567842068
69	0.1565582731
70	0.1565426381
71	0.1564589905
72	0.1564292385
73	0.1560664255
74	0.156064961
75	0.1555859724
76	0.1553190497
77	0.1549894102
78	0.1548741846
79	0.1548124253
80	0.1546696258
81	0.154577902
82	0.1543594514
83	0.1541217601
84	0.1537674253
85	0.1536401861
86	0.1535950474
87	0.1534287072
88	0.1533806991
89	0.1532238438
90	0.1530529588
91	0.1528600055
92	0.1528291763
93	0.1526899488
94	0.1526278986
95	0.1526066227
96	0.1525898272
97	0.1522309802
98	0.1521934709
99	0.1514924788
